FID,the_geom,UNIQUENUM,IDNUM,NAME,LONGITUDE,LATITUDE,COUNTRY,REGION,REVBIS,DESCRIPTIO,JUSTIFICAT,DATEINSCRI,SECDATE,DANGER,AREAHA,CRITERIA,CATSHORT,CATFIN,TRANSBOUND
worldheritagesites.21,POINT (6.829336111 46.46841389),2085,1321,"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",6.829336111,46.46841389,"Argentina,Belgium,France,Germany,India,Japan,Switzerland",Latin America and the Caribbean,,"<span>Chosen from the work of Le Corbusier, the 17 sites comprising this transnational serial property are spread over seven countries and are a testimonial to the invention of a new architectural language that made a break with the past. They were built",,2016,,,98.4838,(i)(ii)(vi),C,C,1
worldheritagesites.22,POINT (-69.59166667 -18.25),2003,1459,"Qhapaq ?an, Andean Road System",-69.59166667,-18.25,"Argentina,Bolivia (Plurinational State of),Chile,Colombia,Ecuador,Peru",Latin America and the Caribbean,,"<p>This site is an extensive Inca communication, trade and defence network of roads covering 30,000?km. Constructed by the Incas over several centuries and partly based on pre-Inca infrastructure, this extraordinary network through one of the world?s mos",,2014,,,11406.95,(ii)(iii)(iv)(vi),C,C,1
worldheritagesites.23,POINT (-54.26583333 -28.54333333),326,275,"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Se?ora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",-54.26583333,-28.54333333,"Argentina,Brazil",Latin America and the Caribbean,bis,"<p>The ruins of S&atilde;o Miguel das Miss&otilde;es in Brazil, and those of San Ignacio Min&iacute;, Santa Ana, Nuestra Se&ntilde;ora de Loreto and Santa Mar&iacute;a la Mayor in Argentina, lie at the heart of a tropical forest. They are the impressive",,1983,1984,,0,(iv),C,C,1
worldheritagesites.24,POINT (44.71028 41.095),920,777,Monasteries of Haghpat and Sanahin,44.71028,41.095,Armenia,Europe and North America,Bis,<p>These two Byzantine monasteries in the Tumanian region from the period of prosperity during the Kiurikian dynasty (10th to 13th century) were important centres of learning. Sanahin was renown for its school of illuminators and calligraphers. The two m,<p>The Committee decided to inscribe the Monastery of Haghpat on the basis of cultural <em>criteria (ii) and (iv)</em> considering that it is of outstanding universal value and an exceptional example of ecclesiastical architecture that developed in Armen,1996,2000,,2.65,(ii)(iv),C,C,0
worldheritagesites.25,POINT (44.79667 40.15889),1124,960,Monastery of Geghard and the Upper Azat Valley,44.79667,40.15889,Armenia,Europe and North America,,"<p>The monastery of Geghard contains a number of churches and tombs, most of them cut into the rock, which illustrate the very peak of Armenian medieval architecture. The complex of medieval buildings is set into a landscape of great natural beauty, surr","<p><em>Criterion (ii):</em> The monastery of Geghard, with its remarkable rock-cut churches and tombs, is an exceptionally well preserved and complete example of medieval Armenian monastic architecture and decorative art, with many innovatory features wh",2000,,,2.7,(ii),C,C,0
worldheritagesites.26,POINT (44.29514 40.15931),1181,1011,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,44.29514,40.15931,Armenia,Europe and North America,,"<p>The cathedral and churches of Echmiatsin and the archaeological remains at Zvartnots graphically illustrate the evolution and development of the Armenian central-domed cross-hall type of church, which exerted a profound influence on architectural and","<p><em>Criterion (ii):</em> The developments in ecclesiastical architecture represented in an outstanding manner by the churches at Echmiatsin and the archaeological site of Zvartnots had a profound influence on church design over a wide region.</p>
<p><",2000,,,74.3,(ii)(iii),C,C,0
worldheritagesites.27,POINT (132.8333333 -12.83333333),1872,147,Kakadu National Park,132.8333333,-12.83333333,Australia,Asia and the Pacific,Quater,"<p>This unique archaeological and ethnological reserve, located in the Northern Territory, has been inhabited continuously for more than 40,000 years. The cave paintings, rock carvings and archaeological sites record the skills and way of life of the reg",,1981,"19,871,992",,1980994.92,(i)(vi)(vii)(ix)(x),C/N,C/N,0
worldheritagesites.28,POINT (151.2152778 -33.85666667),1457,166,Sydney Opera House,151.2152778,-33.85666667,Australia,Asia and the Pacific,rev,"<p>Inaugurated in 1973, the Sydney Opera House is a great architectural work of the 20th century that brings together multiple strands of creativity and innovation in both architectural form and structural design. A great urban sculpture set in a remarka",,2007,,,5.8,(i),C,C,0
worldheritagesites.29,POINT (143 -34),185,167,Willandra Lakes Region,143,-34,Australia,Asia and the Pacific,,"<p>The fossil remains of a series of lakes and sand formations that date from the Pleistocene can be found in this region, together with archaeological evidence of human occupation dating from 45&ndash;60,000 years ago. It is a unique landmark in the stu",,1981,,,240000,(iii)(viii),C/N,C/N,0
worldheritagesites.30,POINT (159.0883333 -31.56555556),206,186,Lord Howe Island Group,159.0883333,-31.56555556,Australia,Asia and the Pacific,,"<p>A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds.</p>",,1982,,,146300,(vii)(x),N,N,0
worldheritagesites.31,POINT (150.05 -28.25),422,368,Gondwana Rainforests of Australia,150.05,-28.25,Australia,Asia and the Pacific,bis,"<p>This site, comprising several protected areas, is situated predominantly along the Great Escarpment on Australia&rsquo;s east coast. The outstanding geological features displayed around shield volcanic craters and the high number of rare and threatene",,1986,1994,,370000,(viii)(ix)(x),N,N,0
worldheritagesites.32,POINT (131 -25.33333333),519,447,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,131,-25.33333333,Australia,Asia and the Pacific,rev,"<p>This park, formerly called Uluru (Ayers Rock &ndash; Mount Olga) National Park, features spectacular geological formations that dominate the vast red sandy plain of central Australia. Uluru, an immense monolith, and Kata Tjuta, the rock domes located",,1987,1994,,132566,(v)(vi)(vii)(viii),C/N,C/N,0
worldheritagesites.33,POINT (113.4361111 -25.48611111),684,578,"Shark Bay, Western Australia",113.4361111,-25.48611111,Australia,Asia and the Pacific,,"<p>At the most westerly point of the Australian continent, Shark Bay, with its islands and the land surrounding it, has three exceptional natural features: its vast sea-grass beds, which are the largest (4,800 km2) and richest in the world; its dugong (&",,1991,,,2200902,(vii)(viii)(ix)(x),N,N,0
worldheritagesites.34,POINT (153.1333333 -25.21666667),748,630,Fraser Island,153.1333333,-25.21666667,Australia,Asia and the Pacific,,"<p>Fraser Island lies just off the east coast of Australia. At 122 km long, it is the largest sand island in the world. Majestic remnants of tall rainforest growing on sand and half the world&rsquo;s perched freshwater dune lakes are found inland from th",,1992,,,184000,(vii)(viii)(ix),N,N,0
worldheritagesites.35,POINT (138.7166667 -19.08333333),826,698,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),138.7166667,-19.08333333,Australia,Asia and the Pacific,,"<p>Riversleigh and Naracoorte, situated in the north and south respectively of eastern Australia, are among the world&rsquo;s 10 greatest fossil sites. They are a superb illustration of the key stages of evolution of Australia&rsquo;s unique fauna.</p>",,1994,,,10300,(viii)(ix),N,N,0
worldheritagesites.36,POINT (150 -33.7),1071,917,Greater Blue Mountains Area,150,-33.7,Australia,Asia and the Pacific,,"<p>The Greater Blue Mountains Area consists of 1.03 million ha of sandstone plateaux, escarpments and gorges dominated by temperate eucalypt forest. The site, comprised of eight protected areas, is noted for its representation of the evolutionary adaptat","<p><em>Criteria (ix) and (x):</em> Australia&rsquo;s eucalypt vegetation is worthy of recognition as of outstanding universal value, because of its adaptability and evolution in post-Gondwana isolation. The site contains a wide and balanced representatio",2000,,,1032649,(ix)(x),N,N,0
worldheritagesites.37,POINT (128.5 -17.5),1272,1094,Purnululu National Park,128.5,-17.5,Australia,Asia and the Pacific,,"<p>The 239,723 ha Purnululu National Park is located in the State of Western Australia. It contains the deeply dissected Bungle Bungle Range composed of Devonian-age quartz sandstone eroded over a period of 20 million years into a series of beehive-shape","<p><em>Criterion (viii):</em> Earth&rsquo;s history and geological features The claim to outstanding universal geological value is made for the Bungle Bungle Range. The Bungle Bungles are, by far, the most outstanding example of cone karst in sandstones",2003,,,239723,(vii)(viii),N,N,0
worldheritagesites.38,POINT (144.9702778 -37.80611111),1730,1131,Royal Exhibition Building and Carlton Gardens,144.9702778,-37.80611111,Australia,Asia and the Pacific,Bis,<p>The Royal Exhibition Building and its surrounding Carlton Gardens were designed for the great international exhibitions of 1880 and 1888 in Melbourne. The building and grounds were designed by Joseph Reed. The building is constructed of brick and timb,"<p><em>Criterion (ii):</em> The Royal Exhibition Building and the surrounding Carlton Gardens, as the main extant survivors of a Palace of Industry and its setting, together reflect the global influence of the international exhibition movement of the 19t",2004,,,26,(ii),C,C,0
worldheritagesites.39,POINT (150.9944444 -33.37833333),1648,1306,Australian Convict Sites,150.9944444,-33.37833333,Australia,Asia and the Pacific,,"<p>The property includes a selection of eleven penal sites, among the thousands established by the British Empire on Australian soil in the 18<sup>th</sup> and 19<sup>th</sup> centuries. The sites are spread across Australia, from Fremantle in Western Au",,2010,,,1502.51,(iv)(vi),C,C,0
worldheritagesites.40,POINT (113.8102778 -22.5625),1763,1369,Ningaloo Coast,113.8102778,-22.5625,Australia,Asia and the Pacific,,"<p>The 604,500 hectare marine and terrestrial property of Ningaloo Coast, on the remote western coast of Australia, includes one of the longest near-shore reefs in the world. On land the site features an extensive karst system and network of underground",,2011,,,705015,(vii)(x),N,N,0
worldheritagesites.41,POINT (145.4166667 -41.58333333),1950,181,Tasmanian Wilderness,145.4166667,-41.58333333,Australia,Asia and the Pacific,Quinquies,"<p>In a region that has been subjected to severe glaciation, these parks and reserves, with their steep gorges, covering an area of over 1 million ha, constitute one of the last expanses of temperate rainforest in the world. Remains found in limestone ca",,1982,1989,,1584233,(iii)(iv)(vi)(vii)(viii)(ix)(x),C/N,C/N,0
worldheritagesites.42,POINT (144.9666667 -15.65),565,486,Wet Tropics of Queensland,144.9666667,-15.65,Australia,Asia and the Pacific,,"<p>This area, which stretches along the north-east coast of Australia for some 450 km, is made up largely of tropical rainforests. This biotope offers a particularly extensive and varied array of plants, as well as marsupials and singing birds, along wit",,1988,,,893453,(vii)(viii)(ix)(x),N,N,0
worldheritagesites.43,POINT (73.5 -53.1),683,577,Heard and McDonald Islands,73.5,-53.1,Australia,Asia and the Pacific,rev,"<p>Heard Island and McDonald Islands are located in the Southern Ocean, approximately 1,700 km from the Antarctic continent and 4,100 km south-west of Perth. As the only volcanically active subantarctic islands they &lsquo;open a window into the earth&rs",<p>The Committee inscribed this property under <em>criteria (viii) </em>and <em>(ix)</em>. It noted that this site is the only volcanically active sub-Antarctic island and illustrates ongoing geomorphic processes and glacial dynamics in the coastal and s,1997,,,658903,(viii)(ix),N,N,0
worldheritagesites.44,POINT (158.8955556 -54.59472222),747,629,Macquarie Island,158.8955556,-54.59472222,Australia,Asia and the Pacific,rev,"<p>Macquarie Island (34 km long x 5 km wide) is an oceanic island in the Southern Ocean, lying 1,500 km south-east of Tasmania and approximately halfway between Australia and the Antarctic continent. The island is the exposed crest of the undersea Macqua","<p>The Committee decided that the site provides an unique example of exposure of the ocean crust above the sea level and of geological evidence for sea-floor spreading, and is an exposure of the oceanic plate boundary between the Pacific and Australian/I",1997,,,540000,(vii)(viii),N,N,0
worldheritagesites.45,POINT (147.7 -18.28611111),172,154,Great Barrier Reef,147.7,-18.28611111,Australia,Asia and the Pacific,,"<p>The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world&rsquo;s largest collection of coral reefs, with 400 types of coral, 1,500 species of fish and 4,000 types of mollusc. It also",,1981,,,34870000,(vii)(viii)(ix)(x),N,N,0
worldheritagesites.46,POINT (13.04333333 47.80055556),927,784,Historic Centre of the City of Salzburg,13.04333333,47.80055556,Austria,Europe and North America,,"<p>Salzburg has managed to preserve an extraordinarily rich urban fabric, developed over the period from the Middle Ages to the 19th century when it was a city-state ruled by a prince-archbishop. Its Flamboyant Gothic art attracted many craftsmen and art","<p>The Committee decided to inscribe the nominated property on the basis of cultural <em>criteria (ii), (iv) and (vi)</em> and considered that the site is of outstanding universal value being an important example of a European ecclesiastical city- state",1996,,,236,(ii)(iv)(vi),C,C,0
worldheritagesites.47,POINT (15.82797222 47.64877778),928,785,Semmering Railway,15.82797222,47.64877778,Austria,Europe and North America,,"<p>The Semmering Railway, built over 41 km of high mountains between 1848 and 1854, is one of the greatest feats of civil engineering from this pioneering phase of railway building. The high standard of the tunnels, viaducts and other works has ensured t","<p><em>Criterion (ii):</em> The Semmering Railway represents an outstanding technological solution to a major physical problem in the construction of early railways.</p>
<p><em>Criterion (iv):</em> With the construction of the Semmering Railway, areas of",1998,,,156.18,(ii)(iv),C,C,0
worldheritagesites.48,POINT (16.31333333 48.18666667),929,786,Palace and Gardens of Sch?nbrunn,16.31333333,48.18666667,Austria,Europe and North America,,"<p>From the 18th century to 1918, Sch&ouml;nbrunn was the residence of the Habsburg emperors. It was designed by the architects Johann Bernhard Fischer von Erlach and Nicolaus Pacassi and is full of outstanding examples of decorative art. Together with i",<p>The Committee decided to inscribe the nominated property as an ensemble on the basis of cultural <em>criteria (i) and (iv)</em> considering that the site is of outstanding universal value being an especially well preserved example of the Baroque princ,1996,,,186.28,(i)(iv),C,C,0
worldheritagesites.49,POINT (13.64638889 47.55944444),952,806,Hallstatt-Dachstein / Salzkammergut Cultural Landscape,13.64638889,47.55944444,Austria,Europe and North America,,"<p>Human activity in the magnificent natural landscape of the Salzkammergut began in prehistoric times, with the salt deposits being exploited as early as the 2nd millennium BC. This resource formed the basis of the area&rsquo;s prosperity up to the midd","<p>The Committee decided to inscribe this site on the basis of <em>criteria (iii) and (iv)</em>, considering that the Hallstatt-Dachstein/Salzkammergut alpine region is an outstanding example of a natural landscape of great beauty and scientific interest",1997,,,28446.2,(iii)(iv),C,C,0
worldheritagesites.50,POINT (15.39166667 47.07416667),1724,931,City of Graz ? Historic Centre and Schloss Eggenberg,15.39166667,47.07416667,Austria,Europe and North America,Bis,<p>The City of Graz &ndash; Historic Centre and Schloss Eggenberg bear witness to an exemplary model of the living heritage of a central European urban complex influenced by the secular presence of the Habsburgs and the cultural and artistic role played,,1999,2010,,,(ii)(iv),C,C,0
worldheritagesites.51,POINT (15.43416667 48.36444444),1134,970,Wachau Cultural Landscape,15.43416667,48.36444444,Austria,Europe and North America,,"<p>The Wachau is a stretch of the Danube Valley between Melk and Krems, a landscape of high visual quality. It preserves in an intact and visible form many traces - in terms of architecture, (monasteries, castles, ruins), urban design, (towns and village","<p><em>Criterion (ii):</em> The Wachau is an outstanding example of a riverine landscape bordered by mountains in which material evidence of its long historical evolution has survived to a remarkable degree.</p>
<p><em>Criterion (iv):</em> The architectu",2000,,,18387,(ii)(iv),C,C,0
worldheritagesites.52,POINT (16.38333333 48.21666667),1206,1033,Historic Centre of Vienna,16.38333333,48.21666667,Austria,Europe and North America,,"<p>Vienna developed from early Celtic and Roman settlements into a Medieval and Baroque city, the capital of the Austro-Hungarian Empire. It played an essential role as a leading European music centre, from the great age of Viennese Classicism through th","<p><em>Criterion (ii):</em> The urban and architectural qualities of the Historic Centre of Vienna bear outstanding witness to a continuing interchange of values throughout the second millennium.</p>
<p><em>Criterion (iv):</em> Three key periods of Europ",2001,,,371,(ii)(iv)(vi),C,C,0
worldheritagesites.53,POINT (8.2075 47.27833333),1782,1363,Prehistoric Pile dwellings around the Alps,8.2075,47.27833333,"Austria,France,Germany,Italy,Slovenia,Switzerland",Europe and North America,,"<p>This serial property of 111 small individual sites encompasses the remains of prehistoric pile-dwelling (or stilt house) settlements in and around the Alps built from around 5000 to 500 B.C. on the edges of lakes, rivers or wetlands. Excavations, only",,2011,,,274.2,(iv)(v),C,C,1
worldheritagesites.54,POINT (16.72272222 47.71927778),913,772,Fert? / Neusiedlersee Cultural Landscape,16.72272222,47.71927778,"Austria,Hungary",Europe and North America,Rev,"<p>The Fert&ouml;/Neusiedler Lake area has been the meeting place of different cultures for eight millennia. This is graphically demonstrated by its varied landscape, the result of an evolutionary symbiosis between human activity and the physical environ","<p><em>Criterion (v):</em> The Fert&ouml;-Neusiedler Lake has been the meeting place of different cultures for eight millennia, and this is graphically demonstrated by its varied landscape, the result of an evolutionary and symbiotic process of human int",2001,,,68369,(v),C,C,1
worldheritagesites.55,POINT (49.83333333 40.36666667),1121,958,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,49.83333333,40.36666667,Azerbaijan,Europe and North America,,"<p>Built on a site inhabited since the Palaeolithic period, the Walled City of Baku reveals evidence of Zoroastrian, Sasanian, Arabic, Persian, Shirvani, Ottoman, and Russian presence in cultural continuity. The Inner City (Icheri Sheher) has preserved m","<p><em>Criterion (iv):</em> The Walled City of Baku represents an outstanding and rare example of an historic urban ensemble and architecture with influence from Zoroastrian, Sassanian, Arabic, Persian, Shirvani, Ottoman, and Russian cultures.</p>",2000,,2003-2009,21.5,(iv),C,C,0
worldheritagesites.56,POINT (49.375 40.125),1474,1076,Gobustan Rock Art Cultural Landscape,49.375,40.125,Azerbaijan,Europe and North America,rev,"<p>Gobustan Rock Art Cultural Landscape covers three areas of a plateau of rocky boulders rising out of the semi-desert of central Azerbaijan, with an outstanding collection of more than 6,000 rock engravings bearing testimony to 40,000 years of rock art",,2007,,,537.22,(iii),C,C,0
worldheritagesites.57,POINT (50.52722222 26.23306),2062,1192,Qal?at al-Bahrain ? Ancient Harbour and Capital of Dilmun,50.52722222,26.23306,Bahrain,Arab States,Ter,<p>Qal?at al-Bahrain is a typical tell ? an artificial mound created by many successive layers of human occupation. The strata of the 300 ? 600 m tell testify to continuous human presence from about 2300 BC to the 16th century AD. About 25% of the site h,"<p><em>Criterion (ii): </em>Being an important port city, where people and traditions from different parts of the then known world met, lived and practiced their commercial activities, makes the place a real meeting point of cultures ? all reflected in i",2005,,,70.4,(ii)(iii)(iv),C,C,0
worldheritagesites.58,POINT (50.61351 26.24128),1859,1364,"Pearling, Testimony of an Island Economy",50.61351,26.24128,Bahrain,Arab States,Rev,"<p>The site consists of seventeen buildings in Muharraq City, three offshore oyster beds, part of the seashore and the Qal&rsquo;at Bu Mahir fortress on the southern tip of Muharraq Island, from where boats used to set off for the oyster beds. The listed",,2012,,,35086.81,(iii),C,C,0
worldheritagesites.59,POINT (89.8 22.66667),365,321,Historic Mosque City of Bagerhat,89.8,22.66667,Bangladesh,Asia and the Pacific,,"<p>Situated in the suburbs of Bagerhat, at the meeting-point of the Ganges and Brahmaputra rivers, this ancient city, formerly known as Khalifatabad, was founded by the Turkish general Ulugh Khan Jahan in the 15th century. The city&rsquo;s infrastructure",,1985,,,0,(iv),C,C,0
worldheritagesites.60,POINT (88.98333333 25.03333333),366,322,Ruins of the Buddhist Vihara at Paharpur,88.98333333,25.03333333,Bangladesh,Asia and the Pacific,,"<p>Evidence of the rise of Mahayana Buddhism in Bengal from the 7th century onwards, Somapura Mahavira, or the Great Monastery, was a renowned intellectual centre until the 12th century. Its layout perfectly adapted to its religious function, this monast",,1985,,,0,(i)(ii)(vi),C,C,0
